"","Date","Time","Origin","Temperature","Date_Time","X","Treatment"
"189",2021-01-09,"07:30:00","Slope",26.097,2021-01-09 07:30:00,NA,NA
"190",2021-01-09,"07:30:00","Flat",25.902,2021-01-09 07:30:00,NA,NA
"191",2021-01-09,"07:30:00","Flat",26.292,2021-01-09 07:30:00,NA,NA
"192",2021-01-09,"08:00:00","Slope",26.097,2021-01-09 08:00:00,NA,NA
"193",2021-01-09,"08:00:00","Flat",25.902,2021-01-09 08:00:00,NA,NA
"194",2021-01-09,"08:00:00","Flat",26.292,2021-01-09 08:00:00,NA,NA
"195",2021-01-09,"08:30:00","Slope",26.097,2021-01-09 08:30:00,NA,NA
"196",2021-01-09,"08:30:00","Slope",26.195,2021-01-09 08:30:00,NA,NA
"197",2021-01-09,"08:30:00","Flat",25.902,2021-01-09 08:30:00,NA,NA
"198",2021-01-09,"08:30:00","Flat",26.292,2021-01-09 08:30:00,NA,NA
"199",2021-01-09,"09:00:00","Slope",26.097,2021-01-09 09:00:00,NA,NA
"200",2021-01-09,"09:00:00","Flat",25.805,2021-01-09 09:00:00,NA,NA
"201",2021-01-09,"09:00:00","Flat",26.195,2021-01-09 09:00:00,NA,NA
"202",2021-01-09,"09:30:00","Slope",26.097,2021-01-09 09:30:00,NA,NA
"203",2021-01-09,"09:30:00","Flat",25.708,2021-01-09 09:30:00,NA,NA
"204",2021-01-09,"09:30:00","Flat",26.097,2021-01-09 09:30:00,NA,NA
"205",2021-01-09,"10:00:00","Slope",26.097,2021-01-09 10:00:00,NA,NA
"206",2021-01-09,"10:00:00","Flat",25.708,2021-01-09 10:00:00,NA,NA
"207",2021-01-09,"10:00:00","Flat",26.097,2021-01-09 10:00:00,NA,NA
"208",2021-01-09,"10:30:00","Slope",26.097,2021-01-09 10:30:00,NA,NA
"209",2021-01-09,"10:30:00","Flat",25.708,2021-01-09 10:30:00,NA,NA
"210",2021-01-09,"10:30:00","Flat",26.097,2021-01-09 10:30:00,NA,NA
"211",2021-01-09,"11:00:00","Slope",26.097,2021-01-09 11:00:00,NA,NA
"212",2021-01-09,"11:00:00","Flat",25.708,2021-01-09 11:00:00,NA,NA
